businessName,postalCode,address,phone,website,rating,reviews
Estela frizerski in kozmetični saloni, 1000 Ljubljana,Šmartinska c. 102,031526348,Ni podatka,"5,0",7
AD Beauty Studio, 1000 Ljubljana,Vodnikova cesta 187,051607087,Ni podatka,"5,0",3
Tjasha Frizersko Brivski Salon, 1000 Ljubljana,Štefanova ulica 6,031556500,Ni podatka,"4,7",103
HC Hair Culture, 1000 Ljubljana,Gosposvetska cesta 1,031605090,Ni podatka,"4,9",133
Frizerski salon LASSANA, 1000 Ljubljana,Čopova ulica 2,012513711,Ni podatka,"4,5",70
Frizerstvo Bogataj Matej Bogataj S.P., 1000 Ljubljana,Tržaška c. 279,012566510,Ni podatka,"4,7",51
Frizerski studio Tamara Team Tamara Janža s.p., 1000 Ljubljana,Novakova ulica 5,014373359,Ni podatka,"4,6",73
Frizerski salon Sašo Mali, 1000 Ljubljana,Prečna ulica 6,041760907,Ni podatka,"4,7",58
Salon Tinka - frizerski salon Ljubljana, 1000 Ljubljana,Trg mladinskih delovnih brigad 10,012521530,Ni podatka,"4,4",51
Frizerski salon Simple, 1000 Ljubljana,Slovenska cesta 30,014289899,Ni podatka,"4,3",125
"Frizerski salon Katarina, Katarina Žnidaršič s.p.", 1000 Ljubljana,Trg komandanta Staneta 6,015073946,Ni podatka,"4,7",26
"Sasha design frizerski salon, svetovanje, Aleksandra Čekerevac s.p.", 1000 Ljubljana,Nove Fužine 43,041339914,Ni podatka,"4,8",70
HC Hair Culture, 1000 Ljubljana,Komenskega ulica 42,031605090,Ni podatka,"5,0",80
HairCity, 1000 Ljubljana,Nove Fužine 33,Ni podatka,Ni podatka,"4,3",167
Frizerski studio Ta&Ša Ta&Ša d.o.o, 1000 Ljubljana,Vojkova cesta 77,015653131,Ni podatka,"4,6",62
"Frizerski salon "" Lidija "" Ficko Lidija s.p.", 1000 Ljubljana,Ulica Gradnikove brigade 8,015411771,Ni podatka,"4,9",43
Harologi Ljubljana - Frizerski salon, 1000 Ljubljana,Dunajska c. 105,031555105,Ni podatka,"4,5",39
Frizerski in kozmetični salon LASSANA, 1000 Ljubljana,Slovenska cesta 27,012515339,Ni podatka,"4,5",68
Dejan Nikolic Salon, 1000 Ljubljana,Kolodvorska ulica 12,040221134,Ni podatka,"4,6",62
Frizerski salon trendi Jadranka Bišof s.p., 1000 Ljubljana,Celovška cesta 106,015154101,Ni podatka,"4,8",43
Frizerski salon Ema Murgle d.o.o, 1000 Ljubljana,Cesta v Mestni log 55,059115460,Ni podatka,"4,2",37
SIMPLE - Ljubljana Mostec, 1000 Ljubljana,Karingerjeva ulica 6,015174402,Ni podatka,"4,5",56
