Email,First name,Last name,Phone number,Website URL,Latest source date,Industrija,Annual revenue,St. zaposlenih,Company name,City,Postal code,Street address,St. prebivalcev,Fax number,Lead status,Lifecycle stage,Contact owner,Oddaljenost od mesta,Google my business,Ure na teden,Stran na google,Ocena,Search term,St. ocen
,,,,,,,,,,,,,,,,,,,,,,,,
,,,23314700,,,Frizerski studio,,,Frizerski studio Karla,Maribor,2000,Žolgarjeva ulica 7,97019,,,,,965,1,74,1,4.8,Maribor Frizerski studio,43
,,,24201661,https://www.galaktiko.com/,,Frizerski studio,,,Frizerski studio Galaktiko Dual Qlandia,Maribor,2000,Cesta proletarskih brigad 100,97019,,,,,2413,1,78,1,4.4,Maribor Frizerski studio,34
,,,70832170,,,Frizerski studio,,,Frizerski studio tu  Tanja Urbas s.p.,Maribor,2000,Regentova ulica 22,97019,,,,,363,1,65,1,4.7,Maribor Frizerski studio,70
,,,23324073,http://www.studiomojca.si/,,Frizerski studio,,,Frizerski Studio Mojca Mojca Celcer  S.P.,Maribor,2000,Metelkova ulica 26,97019,,,,,963,0,,1,4.8,Maribor Frizerski studio,36
,,,22521035,,,Frizerski studio,,,Frizerski studio Tomas Tomas Rožman s.p.,Maribor,2000,Židovska ulica 10,97019,,,,,1384,0,,1,4.4,Maribor Frizerski studio,61
,,,40809000,http://www.hair-dance.si/,,Frizerski studio,,,Frizerski Salon Hair dance  Ana Kartunay s.p.,Maribor,2000,Ulica Vita Kraigherja 10,97019,,,,,1527,1,50,1,4.7,Maribor Frizerski studio,75
,,,70468987,,,Frizerski studio,,,GLAM UP PE Frizerski Studio,Maribor,2000,Gosposvetska cesta 84,97019,,,,,2589,1,71,1,4.2,Maribor Frizerski studio,41
,,,59108590,http://www.hairpointstudio.si/,,Frizerski studio,,,Frizerski studio Borut Borut Družovec s.p.,Maribor,2000,Žolgarjeva ulica 7,97019,,,,,965,1,45,1,4.8,Maribor Frizerski studio,23
,,,41857125,http://www.nejcmurko.si/,,Frizerski studio,,,Skupina Ntm  frizerski studio Nejc Murko s.p.,Maribor,2000,Panonska ulica 7,97019,,,,,39054,0,,1,4.9,Maribor Frizerski studio,38
,,,40304770,https://www.facebook.com/studio.selena11/,,Frizerski studio,,,Frizerski studio Selena,Maribor,2000,Slomškov trg 14,97019,,,,,1657,1,60,1,4.7,Maribor Frizerski studio,40
,,,40603966,,,Frizerski studio,,,Frizer MARIBOR - ŠKARICA,Maribor,2000,Ulica talcev 1,97019,,,,,67859,1,61,1,4.9,Maribor Frizerski studio,116
,,,27201019,http://www.studiooranz.com/,,Frizerski studio,,,Oranž,Maribor,2000,Ulica kneza Koclja 4,97019,,,,,1425,1,60,1,4.5,Maribor Frizerski studio,82
,,,41903185,http://www.studioiggi.si/,,Frizerski studio,,,Frizerski Studio Iggi Igor Zelenjak S.P.,Maribor,2000,Koroška cesta 53,97019,,,,,1934,0,,1,4.8,Maribor Frizerski studio,38
,,,83881432,,,Frizerski studio,,,Buhair,Maribor,2000,Gregorčičeva ulica 15,97019,,,,,167281,1,60,1,4.7,Maribor Frizerski studio,55
,,,23314218,,,Frizerski studio,,,Frizerski Studio Glavica Mojca Glavica S.P.,Maribor,2000,Beograjska ulica 6,97019,,,,,783,0,,1,4.7,Maribor Frizerski studio,29
,,,40261207,http://studiominimal.si/,,Frizerski studio,,,Studio Minimal,Maribor,2000,Tyrševa ulica 4,97019,,,,,,1,,1,4.8,Maribor Frizerski studio,32
,,,31541149,https://zemljevid.najdi.si/podjetje/3395308000/frizerski-salon-stela-darja-tavzelj-sp,,Frizerski studio,,,Frizerski Salon Stela Darja Tavželj s.p.,Maribor,2000,Čanžkova ulica 3,97019,,,,,2319,1,57.5,1,4.8,Maribor Frizerski studio,36
